time,direction,entry,sl,tp,rr,p_take
2026-06-09 10:59:00+00:00,1,4360.9,4359.81,4377.5,15.2,0.248
2026-06-09 11:00:00+00:00,1,4360.9,4359.8,4377.5,15.12,0.241
2026-06-12 12:31:00+00:00,-1,4206.02,4212.01,4170.14,5.98,0.411
2026-06-15 11:47:00+00:00,-1,4338.57,4339.86,4213.19,97.15,0.089
2026-06-29 23:41:00+00:00,-1,4016.9,4022.03,4002.4,2.83,0.292
2026-06-30 08:13:00+00:00,-1,4029.71,4030.81,4026.95,2.5,0.34
2026-06-30 15:42:00+00:00,-1,4028.16,4031.31,4020.3,2.5,0.295
2026-07-02 07:36:00+00:00,1,4065.01,4060.18,4103.63,8.0,0.721
2026-07-06 13:36:00+00:00,1,4142.16,4138.39,4172.31,8.0,0.681
2026-07-08 09:15:00+00:00,1,4056.67,4050.79,4103.66,8.0,0.786
2026-07-10 15:27:00+00:00,1,4097.79,4096.45,4108.48,8.0,0.539
2026-07-14 03:21:00+00:00,-1,4014.12,4016.59,3994.32,8.0,0.481
2026-07-15 16:48:00+00:00,1,4034.29,4027.22,4090.86,8.0,0.625
2026-07-15 22:00:00+00:00,1,4061.45,4059.97,4073.28,8.0,0.867
2026-07-16 15:25:00+00:00,1,3989.6,3988.33,3999.72,8.0,0.452
2026-07-17 05:48:00+00:00,1,3986.13,3982.55,4014.75,8.0,0.746
2026-07-20 09:28:00+00:00,-1,4020.31,4022.55,4002.39,8.0,0.558
2026-07-21 01:01:00+00:00,-1,4019.69,4025.36,3998.72,3.69,0.57
2026-07-29 15:24:00+00:00,1,4009.74,4002.63,4037.3,3.88,0.555
2026-07-30 18:01:00+00:00,1,4104.23,4101.74,4119.46,6.13,0.775
2026-07-31 19:12:00+00:00,-1,4050.41,4051.98,4037.8,8.0,0.584
2026-08-03 22:04:00+00:00,-1,4051.95,4054.34,4032.83,8.0,0.281
2026-08-03 23:11:00+00:00,-1,4050.91,4054.86,4029.17,5.51,0.298
2026-08-04 12:14:00+00:00,-1,4071.61,4081.56,4042.04,2.97,0.216
2026-08-05 16:57:00+00:00,-1,4244.25,4247.8,4215.84,8.0,0.332
2026-08-06 13:02:00+00:00,1,4255.2,4248.38,4272.24,2.5,0.481
2026-08-07 17:23:00+00:00,1,4337.76,4334.41,4346.12,2.5,0.723
2026-08-10 05:00:00+00:00,1,4325.01,4320.8,4355.99,7.36,0.335
2026-08-11 08:40:00+00:00,1,4367.57,4360.92,4384.19,2.5,0.382
